Method,C-Index,AUC 5yr,AUC 10yr,Brier 5yr,Brier 10yr
Cross Validation,0.7876529065186467,0.8349991177939888,0.8326151412633148,0.14944206412996647,0.18472033874141644
Unseen Data,0.7681007345225603,0.7885379508499489,0.6786475615776382,0.1328874934740785,0.2232599468850741
